block,profile,arm,workload,bw,loss,rep,ttfb_ms,total_ms,bytes,objects
primary,P3,tcp-cubic,W3,50,0,40,478.205,668.52,10240,1
primary,P3,quic,W3,50,0,22,401.718,401.808,10240,1
primary,P3,tcp-bbr,W3,50,0,42,530.459,698.735,10240,1
primary,P3,quic,W3,50,0,32,784.455,784.542,10240,1
primary,P3,quic,W3,50,0,43,772.915,773.038,10240,1
primary,P3,quic,W3,50,0,48,753.879,754.846,10240,1
primary,P3,quic,W3,50,0,18,351.807,353.872,10240,1
primary,P3,tcp-bbr,W3,50,0,39,539.117,641.393,10240,1
primary,P3,tcp-bbr,W3,50,0,16,520.391,698.878,10240,1
primary,P3,tcp-cubic,W3,50,0,24,533.135,697.739,10240,1
primary,P3,tcp-bbr,W3,50,0,15,614.204,744.147,10240,1
primary,P3,tcp-cubic,W3,50,0,5,650.083,832.053,10240,1
primary,P3,tcp-bbr,W3,50,0,21,574.373,717.199,10240,1
primary,P3,tcp-cubic,W3,50,0,4,596.56,789.071,10240,1
primary,P3,quic,W3,50,0,17,832.179,833.082,10240,1
primary,P3,tcp-cubic,W3,50,0,39,602.035,749.456,10240,1
primary,P3,tcp-bbr,W3,50,0,19,539.205,668.085,10240,1
primary,P3,tcp-cubic,W3,50,0,41,502.463,676.352,10240,1
primary,P3,tcp-bbr,W3,50,0,44,558.109,712.126,10240,1
primary,P3,tcp-cubic,W3,50,0,37,497.584,668.491,10240,1
primary,P3,quic,W3,50,0,33,971.811,971.95,10240,1
primary,P3,quic,W3,50,0,7,423.263,430.026,10240,1
primary,P3,tcp-bbr,W3,50,0,0,586.239,709.006,10240,1
primary,P3,tcp-cubic,W3,50,0,17,477.722,642.057,10240,1
primary,P3,quic,W3,50,0,41,333.531,334.553,10240,1
primary,P3,tcp-cubic,W3,50,0,45,539.617,770.868,10240,1
primary,P3,tcp-cubic,W3,50,0,7,570.63,817.341,10240,1
primary,P3,tcp-bbr,W3,50,0,27,533.652,683.788,10240,1
primary,P3,tcp-cubic,W3,50,0,29,494.544,675.911,10240,1
primary,P3,tcp-cubic,W3,50,0,35,551.259,746.543,10240,1
primary,P3,quic,W3,50,0,49,763.158,764.2,10240,1
primary,P3,quic,W3,50,0,31,810.998,811.103,10240,1
primary,P3,tcp-cubic,W3,50,0,33,527.123,666.753,10240,1
primary,P3,tcp-bbr,W3,50,0,35,596.592,723.104,10240,1
primary,P3,tcp-cubic,W3,50,0,46,486.169,668.389,10240,1
primary,P3,quic,W3,50,0,42,830.885,831.941,10240,1
primary,P3,quic,W3,50,0,9,780.674,780.762,10240,1
primary,P3,tcp-cubic,W3,50,0,12,944.082,944.147,10240,1
primary,P3,quic,W3,50,0,20,394.172,394.263,10240,1
primary,P3,tcp-cubic,W3,50,0,43,592.977,727.819,10240,1
primary,P3,tcp-bbr,W3,50,0,1,566.962,716.93,10240,1
primary,P3,tcp-bbr,W3,50,0,17,511.456,642.435,10240,1
primary,P3,tcp-bbr,W3,50,0,28,530.943,725.773,10240,1
primary,P3,tcp-cubic,W3,50,0,21,670.762,794.213,10240,1
primary,P3,tcp-cubic,W3,50,0,6,519.301,682.441,10240,1
primary,P3,quic,W3,50,0,29,350.886,350.977,10240,1
primary,P3,quic,W3,50,0,40,316.267,316.355,10240,1
primary,P3,quic,W3,50,0,21,333.298,334.238,10240,1
primary,P3,tcp-bbr,W3,50,0,25,588.658,780.092,10240,1
primary,P3,tcp-cubic,W3,50,0,2,487.025,706.853,10240,1
primary,P3,tcp-bbr,W3,50,0,24,582.691,777.372,10240,1
primary,P3,tcp-bbr,W3,50,0,22,719.897,966.263,10240,1
primary,P3,quic,W3,50,0,3,333.003,333.089,10240,1
primary,P3,tcp-bbr,W3,50,0,7,689.962,837.716,10240,1
primary,P3,tcp-bbr,W3,50,0,14,638.007,799.414,10240,1
primary,P3,tcp-cubic,W3,50,0,3,536.757,714.978,10240,1
primary,P3,tcp-bbr,W3,50,0,13,582.645,729.286,10240,1
primary,P3,tcp-cubic,W3,50,0,32,666.869,817.847,10240,1
primary,P3,quic,W3,50,0,25,876.307,882.388,10240,1
primary,P3,quic,W3,50,0,4,342.101,342.192,10240,1
primary,P3,quic,W3,50,0,30,345.055,347.027,10240,1
primary,P3,tcp-cubic,W3,50,0,38,557.957,728.541,10240,1
primary,P3,quic,W3,50,0,19,362.426,365.353,10240,1
primary,P3,quic,W3,50,0,10,841.777,842.561,10240,1
primary,P3,tcp-cubic,W3,50,0,28,599.756,789.508,10240,1
primary,P3,quic,W3,50,0,2,327.512,353.234,10240,1
primary,P3,tcp-bbr,W3,50,0,6,574.115,725.373,10240,1
primary,P3,tcp-cubic,W3,50,0,47,503.28,665.658,10240,1
primary,P3,quic,W3,50,0,35,785.964,786.047,10240,1
primary,P3,tcp-cubic,W3,50,0,23,768.477,988.407,10240,1
primary,P3,tcp-cubic,W3,50,0,8,630.491,750.77,10240,1
primary,P3,quic,W3,50,0,26,778.027,778.109,10240,1
primary,P3,tcp-cubic,W3,50,0,36,563.066,733.248,10240,1
primary,P3,tcp-bbr,W3,50,0,37,499.85,681.09,10240,1
primary,P3,tcp-cubic,W3,50,0,44,528.147,692.367,10240,1
primary,P3,tcp-cubic,W3,50,0,9,492.6,638.736,10240,1
primary,P3,tcp-bbr,W3,50,0,5,553.397,707.684,10240,1
primary,P3,tcp-cubic,W3,50,0,0,545.94,727.3,10240,1
primary,P3,quic,W3,50,0,36,724.409,725.452,10240,1
primary,P3,quic,W3,50,0,8,743.522,743.607,10240,1
primary,P3,tcp-bbr,W3,50,0,2,650.266,770.104,10240,1
primary,P3,tcp-bbr,W3,50,0,10,525.792,697.7,10240,1
primary,P3,tcp-bbr,W3,50,0,34,671.963,821.655,10240,1
primary,P3,tcp-cubic,W3,50,0,11,637.517,841.45,10240,1
primary,P3,tcp-cubic,W3,50,0,20,540.39,710.883,10240,1
primary,P3,tcp-cubic,W3,50,0,34,598.918,739.528,10240,1
primary,P3,quic,W3,50,0,6,332.772,334.761,10240,1
primary,P3,quic,W3,50,0,14,764.76,767.723,10240,1
primary,P3,tcp-bbr,W3,50,0,4,501.63,653.836,10240,1
primary,P3,tcp-bbr,W3,50,0,30,503.656,650.512,10240,1
primary,P3,quic,W3,50,0,23,751.294,751.386,10240,1
primary,P3,quic,W3,50,0,44,768.663,768.765,10240,1
primary,P3,quic,W3,50,0,28,739.957,740.075,10240,1
primary,P3,quic,W3,50,0,27,338.134,338.216,10240,1
primary,P3,tcp-cubic,W3,50,0,19,506.373,688.86,10240,1
primary,P3,tcp-cubic,W3,50,0,15,643.165,797.989,10240,1
primary,P3,tcp-cubic,W3,50,0,42,608.81,764.708,10240,1
primary,P3,tcp-cubic,W3,50,0,25,566.459,709.494,10240,1
